,0,1,2,3,4,5,6,7
156,1177,수명중․고교,운영중,10,3,서울특별시 강서구 수명로1길 16 마곡수명산파크4단지아파트 401동 앞,37.55010986,126.82367706
157,1178,개화산역 2번 출구,운영중,10,1,서울특별시 강서구 양천로 22 개화산역 2번 출구,37.57247162,126.80616760
158,118,광흥창역 2번출구 앞,운영중,10,5,서울특별시 마포구 독막로 지하165 243-3,37.54773331,126.93176270
159,1180,마곡엠밸리 15단지(1502동) 건너편,운영중,15,0,서울특별시 강서구 마곡중앙로 36 마곡엠밸리 15단지(1502동) 건너편,37.55746841,126.82971954
160,1181,농수산식품공사 (강서지사),운영중,10,0,서울특별시 강서구 발산로 40 농산식품공사 (강서지사),37.55104446,126.81849670
161,1182,KBS 스포츠월드,운영중,20,9,서울특별시 강서구 공항대로 376 KBS 스포츠월드,37.55687714,126.84880829
162,1183,KC 대학교,운영중,10,1,서울특별시 강서구 까치산로24길 47 KC 대학교,37.54832077,126.85340118
163,1184,마곡13단지,운영중,15,5,서울특별시 강서구 방화대로7길 6 마곡13단지,37.55644989,126.81597900
164,1185,등촌9단지,운영중,10,1,서울특별시 강서구 화곡로63가길 92 등촌9단지,37.56290054,126.84947205
165,1187,강서수산물도매시장,운영중,15,0,서울특별시 강서구 발산로 24 강서수산물도매시장,37.55302048,126.81836700
166,1188,롯데중앙연구소,운영중,8,4,서울특별시 강서구 마곡중앙로 201 롯데중앙연구소,37.57138062,126.82833862
167,119,서강나루 공원,운영중,10,5,서울특별시 마포구 창전로 30 서강나루공원,37.54528427,126.93105316
168,1190,마곡역 교차로(2번출구),운영중,10,0,서울특별시 강서구 공항대로 지하 163 마곡역 교차로(2번출구),37.56050110,126.82665253
169,1191,마곡역 교차로(NH농협),운영중,9,0,서울특별시 강서구 마곡중앙로 76 힐스테이트에코마곡역,37.56024170,126.82716370
170,1192,마곡수명산파크 209동 건너편,운영중,10,7,서울특별시 강서구 마곡중앙로 36 마곡수명산파크 2단지 209동 건너편,37.55553818,126.82675934
171,1193,마곡센트럴타워 1차,운영중,15,0,서울특별시 강서구 공항대로 227 마곡센트럴타워 1차,37.55947113,126.83207703
172,1194,센서텍㈜,운영중,10,0,서울특별시 강서구 마곡중앙8로3길 21 케이티엔에프빌딩 인근,37.56330109,126.83682251
173,1195,코오롱One&Only타워,운영중,20,0,서울특별시 강서구 마곡동로 110 코오롱글로벌㈜,37.56412888,126.83431244
174,1196,서울식물원(문화센터) 건너편,운영중,15,1,서울특별시 강서구 마곡동로 161 서울식물원(문화센터) 건너편,37.56824112,126.83583069
175,1197,엘펠리체 호텔 건너편,운영중,20,0,서울특별시 강서구 강서로 247 엘펠리체 호텔 건너편,37.56024170,126.83580780
176,1198,LG 사이언스파크,운영중,20,0,서울특별시 강서구 마곡중앙10로 10 LG 사이언스파크,37.56254959,126.82743835
177,1199,우장산역 3번출구,운영중,13,0,서울특별시 강서구 강서로 247 우장산역 3번출구,37.54782104,126.83612823
178,120,신수동 사거리,운영중,5,1,서울특별시 마포구 토정로 211 371-11,37.54524231,126.93411255
179,1200,개화광역환승센터,운영중,10,4,서울특별시 강서구 개화동로8길 38 개화광역환승센터,37.57844925,126.79897308
180,1201,가락시장역 3번 출구,운영중,10,0,서울특별시 송파구 송파대로 지하 257 송파구 가락동 214-3,37.49317932,127.11854553
181,1203,밀리아나2빌딩 앞,운영중,20,0,서울특별시 송파구 송파대로28길 24 송파구 가락동 100-2,37.49372864,127.12062073
182,1204,거여역 3번출구,운영중,10,1,서울특별시 송파구 오금로 지하 499 3번출구,37.49334335,127.14472961
183,1205,종합운동장역 4번출구,운영중,15,0,서울특별시 송파구 올림픽로 8 송파구 잠실동 50,37.51042938,127.07137299
184,1206,9호선종합운동장역 9번출구,운영중,20,1,서울특별시 송파구 올림픽로 지하 23 송파구 잠실동 53-4,37.51128006,127.07823944
185,1207,마천CU우방점 앞,운영중,10,1,서울특별시 송파구 성내천로 233 송파구 마천동 200-58,37.49975586,127.15250397
186,1208,풍납현대아파트쉼터,운영중,20,0,서울특별시 송파구 풍납동 472,37.52974701,127.11996460
187,1209,잠실나루역 (2번 출구 쪽),운영중,20,0,서울특별시 송파구 오금로 20 송파구 신천동 15,37.52045059,127.10420227
188,121,마포소방서 앞,운영중,15,3,서울특별시 마포구 창전로 76 100-18,37.54976654,126.93317413
189,1210,롯데월드타워(잠실역2번출구 쪽),운영중,30,1,서울특별시 송파구 올림픽로 293-19 송파구 신천동 28,37.51312637,127.10095978
190,1211,방이삼거리,운영중,7,0,서울특별시 송파구 석촌호수로 298 송파구 신천동 33,37.51210403,127.10778046
191,1212,송파역 2번 출구앞,운영중,10,0,서울특별시 송파구 송파대로 지하 354 송파구 가락동 459-4,37.49941254,127.11286926
192,1213,백토공원 앞,운영중,20,0,서울특별시 송파구 오금동 6-2,37.50831985,127.13321686
193,1214,오금역 7번 출구 인근,운영중,10,0,서울특별시 송파구 오금로 지하 321 송파구 오금동 44-2,37.50259399,127.12764740
194,1215,올림픽공원역 1번출구 앞,운영중,15,1,서울특별시 송파구 양재대로 지하 1233 송파구 방이동 89-28,37.51657104,127.13153839
195,1217,송파파인타운 7단지,운영중,15,1,서울특별시 송파구 충민로4길 19 송파구 장지동 839-4,37.47930527,127.12979889
196,1218,방이역 4번출구,운영중,12,0,서울특별시 송파구 양재대로 지하 1127 송파구 방이동 217-2,37.50896835,127.12583923
197,122,신성기사식당 앞,운영중,10,2,서울특별시 마포구 독막로 223-1 50-2,37.54745865,126.93837738
198,1220,잠실본동주민센터뒤 잠실근린공원,운영중,15,0,서울특별시 송파구 백제고분로15길 7 송파구 잠실동 230,37.50569153,127.08403778
199,1221,삼전사거리 포스코더샵,운영중,10,0,서울특별시 송파구 백제고분로 188 잠실포스코더샵,37.50419998,127.08753204
200,1222,잠실새내역 5번 출구 뒤,운영중,15,0,서울특별시 송파구 백제고분로 95 송파구 잠실동 19-10,37.51198196,127.08505249
201,1224,아시아지하보도 2번 출구,운영중,15,1,서울특별시 송파구 올림픽로 74 송파구 잠실동 20,37.51216888,127.07893372
202,1226,잠실4동 주민센터 옆,운영중,10,0,서울특별시 송파구 올림픽로35길 16 송파구 신천동 20-50,37.52007675,127.11236572
203,1227,거여역 8번출구 뒤,운영중,10,3,서울특별시 송파구 오금로 지하 499 송파구 거여동 20-14,37.49312592,127.14382172
204,1228,마천사거리,운영중,10,3,서울특별시 송파구 거마로 51 송파구 거여동 133-60,37.49769974,127.14620209
205,1229,송파체육문화회관 앞,운영중,15,5,서울특별시 송파구 양산로 15 송파구 거여동 289-9,37.49068832,127.14312744
